run_name,depth,architecture,replicate,checkpoint_step,layer_name,mmcs,ml2r,ml2r_shrinkage_gap,assignment_cosine_mean,per_feature_mmcs,per_feature_ml2r,high_mmcs_flag,paper_shrinkage_flag_0p95,paper_shrinkage_flag_0p90,paper_shrinkage_flag_0p80,grouped_top1_ml2r,grouped_top3_ml2r,grouped_top5_ml2r
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,linear2,0.7842535972595215,1.0370280742645264,-0.03702807426452637,0.7224254012107849,"[0.81327885389328, 0.7552283406257629]","[1.1970884799957275, 0.8769676685333252]",0.0,0.0,0.0,0.0,1.0370280742645264,1.4021639823913574,1.3805029392242432
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,hidden_layers.0,0.8813272714614868,0.5075428485870361,0.49245715141296387,0.8813272714614868,"[0.8290116786956787, 0.9336428642272949]","[0.36347365379333496, 0.6516120433807373]",0.0,0.0,0.0,0.0,0.5075428485870361,1.4092609882354736,1.4552514553070068
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,linear1,0.9900253415107727,1.0773417949676514,-0.07734179496765137,0.942587673664093,"[0.9986228942871094, 0.9999494552612305, 0.9940659403800964, 0.9981801509857178, 0.9593081474304199]","[1.0713168382644653, 0.05501807853579521, 1.7065112590789795, 1.2177189588546753, 1.3361434936523438]",1.0,0.0,0.0,0.0,1.0773417949676514,1.8564987182617188,2.0992588996887207
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,linear2,0.7832921743392944,1.029129147529602,-0.02912914752960205,0.7241731286048889,"[0.814475953578949, 0.7521083950996399]","[1.180017113685608, 0.878241240978241]",0.0,0.0,0.0,0.0,1.029129147529602,1.3890860080718994,1.352046012878418
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,hidden_layers.0,0.8886852860450745,0.5023382306098938,0.4976617693901062,0.8886852860450745,"[0.8456347584724426, 0.9317358136177063]","[0.3667609393596649, 0.6379154920578003]",0.0,0.0,0.0,0.0,0.5023382306098938,1.3981075286865234,1.4276938438415527
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,linear1,0.9846893548965454,1.1295832395553589,-0.1295832395553589,0.9379552602767944,"[0.9983945488929749, 0.9772034883499146, 0.992534875869751, 0.9972920417785645, 0.9580220580101013]","[1.0785019397735596, 0.05094115063548088, 1.6840908527374268, 1.2144336700439453, 1.6199485063552856]",1.0,0.0,0.0,0.0,1.1295832395553589,1.3177821636199951,3.1208560466766357
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,linear2,0.7820136547088623,1.025720238685608,-0.02572023868560791,0.7224169969558716,"[0.8132086992263794, 0.7508186101913452]","[1.1717689037322998, 0.879671573638916]",0.0,0.0,0.0,0.0,1.025720238685608,1.380875825881958,1.3423956632614136
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,hidden_layers.0,0.8884983062744141,0.5051766633987427,0.4948233366012573,0.8884983062744141,"[0.843492865562439, 0.9335037469863892]","[0.37333375215530396, 0.6370195150375366]",0.0,0.0,0.0,0.0,0.5051766633987427,1.393484115600586,1.4234516620635986
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,linear1,0.9851290583610535,0.8315331339836121,0.16846686601638794,0.9417568445205688,"[0.9986101388931274, 0.9812507033348083, 0.9932721853256226, 0.9977289438247681, 0.9547834992408752]","[1.076903223991394, 0.05380519852042198, 1.190987229347229, 1.2114901542663574, 0.6244797706604004]",1.0,1.0,1.0,0.0,0.8315331339836121,2.574000597000122,2.7333884239196777
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,linear2,0.7834837436676025,1.0270941257476807,-0.027094125747680664,0.7217935919761658,"[0.814551830291748, 0.752415657043457]","[1.1751437187194824, 0.8790444731712341]",0.0,0.0,0.0,0.0,1.0270941257476807,1.3805351257324219,1.3438549041748047
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,hidden_layers.0,0.8870331645011902,0.5074105858802795,0.49258941411972046,0.8870331645011902,"[0.8398547768592834, 0.9342115521430969]","[0.3721237778663635, 0.6426973938941956]",0.0,0.0,0.0,0.0,0.5074105858802795,1.4037928581237793,1.436765193939209
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,linear1,0.984015941619873,0.8807402849197388,0.11925971508026123,0.9388226270675659,"[0.9985804557800293, 0.9760488271713257, 0.9932010173797607, 0.9976874589920044, 0.954561710357666]","[1.0719525814056396, 0.0513312965631485, 1.6866958141326904, 1.2032158374786377, 0.3905058205127716]",1.0,1.0,1.0,0.0,0.8807402849197388,1.0523027181625366,3.008967638015747
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,linear2,0.7819263935089111,1.023442029953003,-0.02344202995300293,0.7241090536117554,"[0.8129988312721252, 0.7508538961410522]","[1.1684116125106812, 0.8784723281860352]",0.0,0.0,0.0,0.0,1.023442029953003,1.3718963861465454,1.3333814144134521
