layer_name,target_fro_norm,raw_fro_norm,delta_fro_norm,raw_fro_ratio,delta_fro_ratio,raw_spectral_ratio,faithfulness_mse,target_singular_values,raw_singular_values,run_name,depth,architecture,replicate,checkpoint_step,top1_component_strength_frac,top3_component_strength_frac,raw_under_scaling_gap,delta_support_gap
linear1,2.532642364501953,2.538630723953247,0.007578281685709953,1.0023645162582397,0.0029922430403530598,1.0030254125595093,5.743034762417665e-06,"[1.7944810390472412, 1.7872087955474854]","[1.799910068511963, 1.7902427911758423]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,0.19840796291828156,0.5915774703025818,-0.002364516258239746,0.0029922430403530598
linear2,2.532642364501953,2.538630723953247,0.007578281685709953,1.0023645162582397,0.0029922430403530598,1.0030254125595093,5.743034762417665e-06,"[1.7944811582565308, 1.7872086763381958]","[1.799910306930542, 1.7902426719665527]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,0.19840796291828156,0.5915774703025818,-0.002364516258239746,0.0029922430403530598
linear1,2.532642364501953,2.5393905639648438,0.007891126908361912,1.0026644468307495,0.003115768311545253,1.0034871101379395,6.226987807167461e-06,"[1.7944810390472412, 1.7872087955474854]","[1.8007386922836304, 1.7904874086380005]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,0.198388010263443,0.5919195413589478,-0.0026644468307495117,0.003115768311545253
linear2,2.532642364501953,2.5393905639648438,0.007891126908361912,1.0026644468307495,0.003115768311545253,1.0034871101379395,6.22698735242011e-06,"[1.7944811582565308, 1.7872086763381958]","[1.8007386922836304, 1.7904874086380005]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,0.198388010263443,0.5919195413589478,-0.0026644468307495117,0.003115768311545253
linear1,2.532642364501953,2.540832281112671,0.008273815736174583,1.003233790397644,0.0032668709754943848,1.0032330751419067,6.84560200170381e-06,"[1.7944810390472412, 1.7872087955474854]","[1.8002827167510986, 1.7929891347885132]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,0.1980680376291275,0.5917880535125732,-0.003233790397644043,0.0032668709754943848
linear2,2.532642364501953,2.540832281112671,0.008273815736174583,1.003233790397644,0.0032668709754943848,1.0032329559326172,6.84560200170381e-06,"[1.7944811582565308, 1.7872086763381958]","[1.800282597541809, 1.7929893732070923]",exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,0.1980680376291275,0.5917880535125732,-0.003233790397644043,0.0032668709754943848
linear1,2.304185390472412,2.2847015857696533,0.06769098341464996,0.9915441870689392,0.029377402737736702,0.9956362843513489,0.00045820692321285605,"[1.6802455186843872, 1.5767197608947754]","[1.6729134321212769, 1.5560275316238403]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,0.45900118350982666,0.9153996706008911,0.008455812931060791,0.029377402737736702
linear2,2.304185390472412,2.312863349914551,0.14190573990345,1.0037661790847778,0.06158607825636864,1.0100281238555908,0.00201372429728508,"[1.6802453994750977, 1.576719880104065]","[1.6970951557159424, 1.5713703632354736]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,0.31251466274261475,0.7614049315452576,-0.003766179084777832,0.06158607825636864
linear1,2.304185390472412,2.2841386795043945,0.06918219476938248,0.9912998676300049,0.030024578794836998,0.9915571212768555,0.00047861755592748523,"[1.6802455186843872, 1.5767197608947754]","[1.6660593748092651, 1.5625413656234741]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,0.4564359188079834,0.903927206993103,0.008700132369995117,0.030024578794836998
linear2,2.304185390472412,2.3138527870178223,0.15491187572479248,1.0041955709457397,0.06723064929246902,1.0139583349227905,0.002399768913164735,"[1.6802453994750977, 1.576719880104065]","[1.7036988735198975, 1.5656707286834717]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,0.3140394985675812,0.7689678072929382,-0.004195570945739746,0.06723064929246902
